GPA_year1,GPA_year2,age,chooseUTM,compsurv,control,credits_earned1,credits_earned2,dad1,dad2,dad_edn,english,female,finish4,goodstanding_year1,goodstanding_year2,gpa0,graddeg,grade_20059_fall,hcom,hsgroup,lastmin,lm_never,lm_rarely,mathsci,mom1,mom2,mom_edn,mtongue,noshow,numcourses_nov1,prob_year1,prob_year2,sex,sfp,sfp_p,sfpany,sfpany_p,sfsp,sfsp_p,signup,ssp,ssp_p,totcredits_year1,used_adv,used_fsg,used_ssp,work1
1.64,2.45,18,0,1,1,3,2.5,1,1,"completed a master s degree (m.a., m.sc., etc)",1,0,1,1,1,87.300003,1,72,1,3,usually,0,0,1,1,1,"completed a master s degree (m.a., m.sc., etc)",English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.08,1.1900001,19,0,1,1,2,2,1,0,completed a community college diploma program,0,0,1,0,0,80.800003,1,57,1,3,occasionally,0,0,4,0,0,don t know/not applicable,Other,0,5,1,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.4,2.98,18,0,1,1,2.5,4.5,1,1,"completed a master s degree (m.a., m.sc., etc)",1,1,1,0,1,84,1,59,1,3,occasionally,0,0,3,1,1,"completed a master s degree (m.a., m.sc., etc)",English,0,5,1,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.7,2.1800001,18,1,1,1,3,2,0,0,don t know/not applicable,1,1,0,1,1,82.199997,0,63.5,0,3,occasionally,0,0,0,1,0,completed a community college diploma program,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.63,2.3299999,18,1,1,1,3,4.5,1,1,"completed a master s degree (m.a., m.sc., etc)",1,1,1,1,1,76.300003,1,61,1,2,often,0,0,4,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.48,2.3599999,18,0,1,0,3.5,3.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,0,1,1,1,78,0,72.5,0,2,often,0,0,1.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,5,0,0,M,0,0,0,0,0,0,0,1,0,5,0,0,0,0
2.4300001,2.76,18,0,1,1,2,4,1,0,completed a community college diploma program,1,0,1,1,1,80,1,,0,2,rarely,0,1,1,1,0,completed a community college diploma program,English,0,6,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.3800001,1.77,19,0,1,1,2.5,4.5,1,1,"completed a doctoral degree or professional program (ph.d., ",1,0,1,1,1,82.199997,1,61,1,3,rarely,0,1,3,1,1,"completed a master s degree (m.a., m.sc., etc)",English,0,6,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.4400001,1.52,18,0,1,0,2,2,1,0,graduated from high school,1,1,1,0,0,75.300003,1,74,1,1,occasionally,0,0,1,1,0,graduated from high school,English,0,4,0,0,F,0,0,0,0,0,0,0,1,0,4.5,0,0,0,0
1.28,2,18,0,1,1,2,2.5,1,0,graduated from high school,0,1,1,0,1,77.199997,1,58.5,1,2,occasionally,0,0,0,1,0,graduated from high school,Other,0,4,0,0,F,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
1.7,1.4299999,18,0,1,1,3.5,3,1,1,"completed a doctoral degree or professional program (ph.d., ",0,0,1,1,1,78.199997,1,67,0,2,rarely,0,1,2,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",Other,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
3.0899999,2.4000001,18,0,1,1,3.5,4.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,0,1,1,1,85.800003,0,78.5,1,3,occasionally,0,0,3.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",Other,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.3699999,,18,0,1,1,3,0,1,0,attended university but did not complete bachelor s degree,1,1,1,1,0,82.699997,0,66,0,3,occasionally,0,0,2,1,0,graduated from high school,English,0,5,0,1,F,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
2.3299999,3.5699999,18,0,1,1,2.5,1.5,1,1,"completed a master s degree (m.a., m.sc., etc)",1,1,1,1,1,87,0,71,1,3,never,1,0,1,1,0,completed a community college diploma program,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.5999999,2.9300001,19,0,1,1,2,2.5,0,0,did not finish high school,1,0,1,0,1,79.800003,1,78,1,2,rarely,0,1,0,0,0,did not finish high school,English,0,3,0,0,M,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1.39,1.54,18,0,1,0,3,2,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,1,1,0,0,77.699997,0,73,1,2,occasionally,0,0,0,1,0,attended university but did not complete bachelor s degree,English,0,4,1,0,F,1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
1.59,2.3,18,0,1,1,3,4.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,0,1,1,1,75.800003,0,67.5,0,1,rarely,0,1,1,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.9100001,2.46,18,1,1,1,4,4,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,0,1,1,1,73.699997,0,81.333336,1,1,often,0,0,0,1,0,completed a community college diploma program,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.1199999,2.9300001,19,1,1,0,2.5,2.75,1,0,completed a community college diploma program,1,0,1,1,1,76.800003,0,60,1,2,rarely,0,1,0,1,0,completed a community college diploma program,English,0,6,0,0,M,1,0,1,0,0,0,0,0,0,4.5,0,0,0,0
2.0899999,2.7,18,0,1,1,3,3.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,1,1,1,1,82.5,1,71,1,3,rarely,0,1,1,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.84,1.28,18,,1,0,3.5,2,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,1,1,1,1,82.300003,1,75,0,3,often,0,0,1.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",Other,0,4,0,0,F,0,0,0,0,0,0,1,1,1,4.5,0,0,0,0
1.75,2.3800001,18,0,1,0,2.5,2.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,1,0,1,1,75.5,1,70,1,1,rarely,0,1,0,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,4,0,0,F,0,0,1,1,1,1,1,0,0,4,1,0,1,0
3,2.2,19,0,1,1,3,2,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,0,1,1,1,79.199997,1,74,1,2,occasionally,0,0,1,1,0,completed a community college diploma program,English,0,4,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
